Date,Open,High,Low,Close,Adjusted_close,Volume
2019-12-27,291.12,293.97,288.12,289.8,71.4938,146371764
2019-12-30,289.46,292.69,285.22,291.52,71.9181,144238436
2019-12-31,289.93,293.68,289.52,293.65,72.4436,100990524
2020-01-02,296.24,300.6,295.19,300.35,74.0965,135647436
2020-01-03,297.15,300.58,296.5,297.43,73.3761,146535516
2020-01-06,293.79,299.96,292.75,299.8,73.9608,118578564
2020-01-07,299.84,300.9,297.48,298.39,73.6129,111510640
2020-01-08,297.16,304.4399,297.156,303.19,74.7971,132363796
2020-01-09,307.235,310.43,306.2,309.63,76.3858,170486156
2020-01-10,310.6,312.67,308.25,310.33,76.5585,140869092
2020-01-13,311.64,317.07,311.15,316.96,78.1941,122086884
2020-01-14,316.7,317.57,312.17,312.68,77.1383,162613844
2020-01-15,311.85,315.5,309.55,311.34,76.8077,121923524
2020-01-16,313.59,315.7,312.09,315.24,77.7698,108829000
2020-01-17,316.27,318.74,315,318.73,78.6308,137816484
2020-01-21,317.19,319.02,316,316.57,78.0979,110843244
2020-01-22,318.58,319.99,317.31,317.7,78.3767,101832476
2020-01-23,317.92,319.56,315.65,319.23,78.7542,104471960
2020-01-24,320.25,323.33,317.5188,318.31,78.5272,146537516
2020-01-27,310.06,311.77,304.88,308.95,76.2181,161940032
2020-01-28,312.6,318.4,312.19,317.69,78.3742,162233952
2020-01-29,324.45,327.85,321.38,324.34,80.0148,216599720
2020-01-30,320.544,324.09,318.75,323.87,79.8988,126743244
2020-01-31,320.93,322.68,308.29,309.51,76.3562,199588408
2020-02-03,304.3,313.49,302.22,308.66,76.1465,173985592
2020-02-04,315.31,319.64,313.6345,318.85,78.6604,136616516
2020-02-05,323.52,324.76,318.95,321.45,79.3018,118826884
2020-02-06,322.57,325.22,320.2648,325.21,80.2294,105425564
2020-02-07,322.37,323.4,318,320.03,79.1389,117684040
2020-02-10,314.18,321.55,313.85,321.55,79.5148,109348884
2020-02-11,323.6,323.9,318.71,319.61,79.035,94323116
2020-02-12,321.47,327.22,321.47,327.2,80.9119,113730280
2020-02-13,324.19,326.22,323.35,324.87,80.3358,94747564
2020-02-14,324.74,325.98,322.85,324.95,80.3555,80113796
2020-02-18,315.36,319.75,314.61,319,78.8842,152762204
2020-02-19,320,324.57,320,323.62,80.0266,93983960
2020-02-20,322.63,324.65,318.21,320.3,79.2057,100565960
2020-02-21,318.62,320.45,310.5,313.05,77.4128,129705680
2020-02-24,297.26,304.18,289.23,298.18,73.7357,222195328
2020-02-25,300.95,302.53,286.13,288.08,71.2381,230673436
2020-02-26,286.53,297.88,286.5,292.65,72.3682,198713736
2020-02-27,281.1,286,272.96,273.52,67.6376,320605500
2020-02-28,257.26,278.41,256.37,273.36,67.5981,426884812
2020-03-02,282.28,301.44,277.72,298.81,73.8915,341397376
2020-03-03,303.67,304,285.8,289.32,71.5447,319475408
2020-03-04,296.44,303.4,293.13,302.74,74.8633,219178264
2020-03-05,295.52,299.55,291.41,292.92,72.435,187572876
2020-03-06,282,290.82,281.23,289.03,71.473,226176984
2020-03-09,263.75,278.09,263,266.17,65.8201,286744844
2020-03-10,277.14,286.44,269.37,285.34,70.5605,285290092
2020-03-11,277.39,281.22,271.86,275.43,68.1099,256379876
2020-03-12,255.94,270,248,248.23,61.3838,418473968
2020-03-13,264.89,279.92,252.95,277.97,68.738,370732124
2020-03-16,241.95,259.08,240,242.21,59.8951,322423500
2020-03-17,247.51,257.61,238.4,252.86,62.5287,324055876
2020-03-18,239.77,250,237.12,246.67,60.998,300233624
2020-03-19,247.385,252.84,242.61,244.78,60.5306,271857032
2020-03-20,247.18,251.83,228,229.24,56.6878,401693188
2020-03-23,228.08,228.4997,212.61,224.37,55.4835,336752844
2020-03-24,236.36,247.69,234.3,246.88,61.0499,287531064
2020-03-25,250.75,258.25,244.3,245.52,60.7136,303602064
2020-03-26,246.52,258.68,246.36,258.44,63.9086,252560672
2020-03-27,252.75,255.87,247.05,247.74,61.2626,204216608
2020-03-30,250.74,255.52,249.4,254.81,63.0109,167976452
2020-03-31,255.6,262.49,252,254.29,62.8823,197002000
2020-04-01,246.5,248.72,239.13,240.91,59.5736,176218564
2020-04-02,240.34,245.15,236.9,244.93,60.5677,165933952
2020-04-03,242.8,245.7,238.9741,241.41,59.6973,129880080
2020-04-06,250.9,263.11,249.38,262.47,64.9051,200337200
2020-04-07,270.8,271.7,259,259.43,64.1534,202887328
2020-04-08,262.74,267.37,261.23,266.07,65.7953,168895280
2020-04-09,268.7,270.07,264.7,267.99,66.2701,162116484
2020-04-13,268.31,273.7,265.83,273.25,67.5709,131022920
2020-04-14,280,288.25,278.05,287.05,70.9834,194994688
2020-04-15,282.4,286.33,280.63,284.43,70.3355,131154564
2020-04-16,287.38,288.1975,282.3502,286.69,70.8944,157125156
2020-04-17,284.69,286.945,276.86,282.8,69.9324,215249920
2020-04-20,277.95,281.68,276.85,276.93,68.4809,130015000
2020-04-21,276.28,277.25,265.43,268.37,66.3641,180991548
2020-04-22,273.61,277.9,272.2,276.1,68.2756,117057360
2020-04-23,275.87,281.75,274.87,275.03,68.011,124814320
2020-04-24,277.2,283.01,277,282.97,69.9745,126508720
2020-04-27,281.8,284.54,279.95,283.17,70.0239,117087564
2020-04-28,285.08,285.83,278.2,278.58,68.8889,112004756
2020-04-29,284.73,289.67,283.89,287.73,71.1516,137280796
2020-04-30,289.96,294.53,288.35,293.8,72.6526,183063876
2020-05-01,286.25,299,285.85,289.07,71.4829,240616720
2020-05-04,289.17,293.69,286.3172,293.16,72.4943,133567952
2020-05-05,295.06,301,294.46,297.56,73.5824,147751204
2020-05-06,300.46,303.24,298.87,300.63,74.3415,142333764
